Date,Time,D1_Counts,D2_Counts,Coincidences
2026-09-01,07:15:00,93,109,4
2026-09-01,07:20:00,114,99,1
2026-09-01,07:25:00,109,120,2
2026-09-01,07:30:00,83,113,0
2026-09-01,07:35:00,85,118,3
2026-09-01,07:45:00,89,98,2
2026-09-01,07:50:00,114,86,2
2026-09-01,07:55:00,85,93,2
2026-09-01,08:00:00,101,100,3
2026-09-01,08:05:00,93,105,2
2026-09-01,08:10:00,120,98,3
2026-09-01,08:15:00,93,79,1
2026-09-01,08:20:00,108,92,6
2026-09-01,08:25:00,88,99,1
2026-09-01,08:30:00,106,121,11
2026-09-01,08:35:00,106,102,6
2026-09-01,08:45:00,85,92,0
2026-09-01,08:50:00,96,93,4
2026-09-01,08:55:00,106,84,3
2026-09-01,09:00:00,106,82,5
2026-09-01,09:05:00,117,110,4
2026-09-01,09:10:00,99,96,3
2026-09-01,09:15:00,113,99,2
2026-09-01,09:20:00,90,92,3
2026-09-01,09:25:00,105,85,4
2026-09-01,09:30:00,97,67,2
2026-09-01,09:35:00,88,102,4
2026-09-01,09:40:00,89,95,2
2026-09-01,09:45:00,94,87,1
2026-09-01,09:50:00,87,95,2
2026-09-01,09:55:00,91,100,5
2026-09-01,10:00:00,93,80,0
2026-09-01,10:05:00,94,111,3
2026-09-01,10:10:00,89,96,1
2026-09-01,10:15:00,108,117,7
2026-09-01,10:20:00,100,102,4
2026-09-01,10:25:00,106,77,3
2026-09-01,10:30:00,78,91,2
2026-09-01,10:35:00,128,85,4
2026-09-01,10:40:00,82,91,2
2026-09-01,10:45:00,84,104,5
2026-09-01,10:50:00,99,106,4
