Date,Time,D1_Counts,D2_Counts,Coincidences
2026-08-19,08:35:00,134,97,4
2026-08-19,08:40:00,120,94,3
2026-08-19,08:45:00,110,88,3
2026-08-19,08:50:00,123,107,4
2026-08-19,08:55:00,115,87,2
2026-08-19,09:00:00,122,101,2
2026-08-19,09:05:00,95,109,3
2026-08-19,09:10:00,156,108,3
2026-08-19,09:15:00,100,108,2
2026-08-19,09:20:00,139,102,2
2026-08-19,09:25:00,118,113,5
2026-08-19,09:30:00,124,87,0
2026-08-19,09:35:00,119,103,1
2026-08-19,09:40:00,152,86,2
2026-08-19,09:45:00,110,110,1
2026-08-19,09:50:00,137,100,5
2026-08-19,09:55:00,114,98,3
