Date,Time,D1_Counts,D2_Counts,Coincidences
2026-09-17,00:00:00,97,91,0
2026-09-17,00:05:00,102,101,4
2026-09-17,00:10:00,106,103,0
2026-09-17,00:15:00,97,107,2
2026-09-17,00:20:00,97,102,2
2026-09-17,00:25:00,100,76,3
2026-09-17,00:30:00,104,106,2
2026-09-17,00:35:00,109,85,5
2026-09-17,00:40:00,101,98,4
2026-09-17,00:45:00,102,82,1
2026-09-17,00:50:00,103,96,1
2026-09-17,00:55:00,118,96,1
2026-09-17,01:00:00,107,86,3
2026-09-17,01:05:00,100,102,2
2026-09-17,01:10:00,119,97,4
2026-09-17,01:15:00,116,115,4
2026-09-17,01:20:00,118,104,5
2026-09-17,01:25:00,114,110,5
2026-09-17,01:30:00,98,80,4
2026-09-17,01:35:00,109,107,3
2026-09-17,01:40:00,106,87,4
2026-09-17,01:45:00,95,110,4
2026-09-17,01:50:00,84,84,1
2026-09-17,01:55:00,126,100,5
2026-09-17,02:00:00,108,105,5
2026-09-17,02:05:00,108,112,2
2026-09-17,02:10:00,90,107,1
2026-09-17,02:15:00,95,85,1
2026-09-17,02:20:00,111,87,2
2026-09-17,02:25:00,114,98,4
2026-09-17,02:30:00,102,108,1
2026-09-17,02:35:00,114,88,4
2026-09-17,02:40:00,112,91,3
2026-09-17,02:45:00,121,108,3
2026-09-17,02:50:00,81,88,0
2026-09-17,02:55:00,114,106,1
2026-09-17,03:00:00,105,117,1
2026-09-17,03:05:00,99,100,2
2026-09-17,03:10:00,103,96,2
2026-09-17,03:15:00,91,108,3
2026-09-17,03:20:00,107,88,1
2026-09-17,03:25:00,105,101,2
2026-09-17,03:30:00,117,96,5
2026-09-17,03:35:00,85,87,2
2026-09-17,03:40:00,96,102,1
2026-09-17,03:45:00,103,100,3
2026-09-17,03:50:00,97,82,3
2026-09-17,03:55:00,115,79,4
2026-09-17,04:00:00,83,87,0
2026-09-17,04:05:00,109,104,1
2026-09-17,04:10:00,113,84,3
2026-09-17,04:15:00,102,101,4
2026-09-17,04:20:00,86,105,1
2026-09-17,04:25:00,121,94,2
2026-09-17,04:30:00,119,105,3
2026-09-17,04:35:00,105,101,0
2026-09-17,04:40:00,85,104,1
2026-09-17,04:45:00,101,112,4
2026-09-17,04:50:00,107,100,4
2026-09-17,04:55:00,98,90,2
2026-09-17,05:00:00,114,101,5
2026-09-17,05:05:00,115,92,2
2026-09-17,05:10:00,113,84,2
2026-09-17,05:15:00,84,78,2
2026-09-17,05:20:00,103,92,3
2026-09-17,05:25:00,107,90,5
2026-09-17,05:30:00,123,76,4
2026-09-17,05:35:00,101,103,4
2026-09-17,05:40:00,98,98,2
2026-09-17,05:45:00,109,96,4
2026-09-17,05:50:00,100,119,5
2026-09-17,05:55:00,94,97,3
2026-09-17,06:00:00,119,101,3
2026-09-17,06:05:00,104,94,1
2026-09-17,06:10:00,75,84,1
2026-09-17,06:15:00,94,85,2
2026-09-17,06:20:00,98,105,1
2026-09-17,06:25:00,118,98,5
2026-09-17,06:30:00,120,112,6
2026-09-17,06:35:00,80,106,1
2026-09-17,06:40:00,95,72,0
2026-09-17,06:45:00,114,85,0
2026-09-17,06:50:00,118,98,4
