Date,Time,D1_Counts,D2_Counts,Coincidences
2026-09-05,20:50:00,85,79,1
2026-09-05,20:55:00,108,90,1
2026-09-05,21:00:00,112,90,4
2026-09-05,21:05:00,88,94,4
2026-09-05,21:10:00,77,72,2
2026-09-05,21:15:00,100,108,2
2026-09-05,21:20:00,91,94,2
2026-09-05,21:25:00,116,91,3
2026-09-05,21:30:00,97,78,1
2026-09-05,21:35:00,102,83,1
2026-09-05,21:40:00,93,70,4
2026-09-05,21:45:00,94,76,4
2026-09-05,21:50:00,94,97,3
2026-09-05,21:55:00,109,106,4
2026-09-05,22:00:00,118,88,4
2026-09-05,22:05:00,88,93,2
2026-09-05,22:10:00,106,88,5
2026-09-05,22:15:00,100,89,5
2026-09-05,22:20:00,89,94,1
2026-09-05,22:25:00,103,100,2
2026-09-05,22:30:00,93,88,1
2026-09-05,22:35:00,114,85,4
2026-09-05,22:40:00,99,106,3
2026-09-05,22:45:00,88,99,1
2026-09-05,22:50:00,87,99,4
2026-09-05,22:55:00,94,92,1
2026-09-05,23:00:00,86,80,2
2026-09-05,23:05:00,89,95,2
2026-09-05,23:10:00,109,112,2
2026-09-05,23:15:00,93,117,3
2026-09-05,23:20:00,111,97,7
2026-09-05,23:25:00,107,97,4
2026-09-05,23:30:00,115,114,4
