Date,Time,D1_Counts,D2_Counts,Coincidences
2026-08-11,12:05:00,119,92,1
2026-08-11,12:10:00,131,90,0
2026-08-11,12:15:00,116,85,2
2026-08-11,12:20:00,147,88,0
2026-08-11,12:25:00,121,108,2
2026-08-11,12:30:00,140,109,5
2026-08-11,12:35:00,142,91,3
2026-08-11,12:40:00,136,93,1
2026-08-11,12:45:00,144,101,5
2026-08-11,12:50:00,130,126,2
2026-08-11,12:55:00,135,102,2
2026-08-11,13:00:00,123,81,1
2026-08-11,13:05:00,133,130,0
2026-08-11,13:10:00,152,113,3
2026-08-11,13:15:00,159,112,2
2026-08-11,13:20:00,151,132,2
2026-08-11,13:25:00,135,93,1
2026-08-11,13:30:00,134,104,2
2026-08-11,13:35:00,131,87,3
2026-08-11,13:40:00,134,134,3
2026-08-11,13:45:00,156,120,4
2026-08-11,13:50:00,128,106,1
2026-08-11,13:55:00,125,108,2
2026-08-11,14:00:00,142,120,5
2026-08-11,14:05:00,115,127,0
2026-08-11,14:10:00,132,108,3
2026-08-11,14:15:00,130,93,4
2026-08-11,14:20:00,137,115,0
2026-08-11,14:25:00,139,122,3
2026-08-11,14:30:00,138,103,3
2026-08-11,14:35:00,124,110,5
2026-08-11,14:40:00,133,114,2
2026-08-11,14:45:00,130,90,3
2026-08-11,14:50:00,144,117,3
2026-08-11,14:55:00,140,93,2
