Date,Time,D1_Counts,D2_Counts,Coincidences
2026-09-06,00:00:00,110,86,4
2026-09-06,00:05:00,83,84,2
2026-09-06,00:10:00,100,108,2
2026-09-06,00:15:00,102,93,1
2026-09-06,00:20:00,79,78,1
2026-09-06,00:25:00,107,78,1
2026-09-06,00:30:00,105,89,3
2026-09-06,00:35:00,101,96,2
2026-09-06,00:40:00,112,90,3
2026-09-06,00:45:00,101,89,6
2026-09-06,00:50:00,86,87,0
2026-09-06,00:55:00,122,106,3
2026-09-06,01:00:00,93,81,0
2026-09-06,01:05:00,101,98,1
2026-09-06,01:10:00,120,93,2
2026-09-06,01:15:00,116,94,4
2026-09-06,01:20:00,104,110,4
2026-09-06,01:25:00,94,106,2
2026-09-06,01:30:00,93,92,0
2026-09-06,01:35:00,88,90,1
2026-09-06,01:40:00,117,83,7
2026-09-06,01:45:00,101,72,1
2026-09-06,01:50:00,122,76,0
2026-09-06,01:55:00,97,89,1
2026-09-06,02:00:00,100,92,4
2026-09-06,02:05:00,85,99,3
2026-09-06,02:10:00,101,77,3
2026-09-06,02:15:00,107,89,3
2026-09-06,02:20:00,96,99,2
2026-09-06,02:25:00,96,97,3
2026-09-06,02:30:00,98,98,4
2026-09-06,02:35:00,104,97,4
2026-09-06,02:40:00,91,92,0
2026-09-06,02:45:00,94,83,6
2026-09-06,02:50:00,101,85,3
2026-09-06,02:55:00,111,89,1
2026-09-06,03:00:00,102,104,1
2026-09-06,03:05:00,89,102,3
2026-09-06,03:10:00,115,97,3
2026-09-06,03:15:00,114,101,5
2026-09-06,03:20:00,96,100,4
2026-09-06,03:25:00,89,74,1
2026-09-06,03:30:00,118,88,3
2026-09-06,03:35:00,110,99,3
2026-09-06,03:40:00,106,92,2
2026-09-06,03:45:00,117,84,3
2026-09-06,03:50:00,99,86,3
2026-09-06,03:55:00,94,97,1
2026-09-06,04:00:00,90,85,3
2026-09-06,04:05:00,110,95,1
2026-09-06,04:10:00,109,88,2
2026-09-06,04:15:00,111,94,2
2026-09-06,04:20:00,96,92,3
2026-09-06,04:25:00,105,114,5
2026-09-06,04:30:00,102,87,2
2026-09-06,04:35:00,83,91,3
2026-09-06,04:40:00,106,80,1
2026-09-06,04:45:00,96,97,2
2026-09-06,04:50:00,82,82,1
2026-09-06,04:55:00,97,87,1
2026-09-06,05:00:00,99,69,0
2026-09-06,05:05:00,110,84,2
2026-09-06,05:10:00,102,83,3
2026-09-06,05:15:00,110,90,4
2026-09-06,05:20:00,105,81,1
2026-09-06,05:25:00,86,62,2
2026-09-06,05:30:00,95,94,3
2026-09-06,05:35:00,104,94,3
2026-09-06,05:40:00,92,87,2
2026-09-06,05:45:00,81,70,1
2026-09-06,05:50:00,98,79,1
2026-09-06,05:55:00,82,72,1
2026-09-06,06:00:00,106,89,2
2026-09-06,06:05:00,99,104,7
2026-09-06,06:10:00,106,94,0
2026-09-06,06:15:00,91,85,1
2026-09-06,06:20:00,95,84,3
2026-09-06,06:25:00,95,88,3
2026-09-06,06:30:00,113,76,2
2026-09-06,06:35:00,94,82,2
2026-09-06,06:40:00,86,90,2
2026-09-06,06:45:00,101,100,3
2026-09-06,06:50:00,91,86,1
2026-09-06,06:55:00,128,86,2
2026-09-06,07:00:00,126,94,4
2026-09-06,07:05:00,103,80,2
2026-09-06,07:10:00,97,63,1
2026-09-06,07:15:00,83,82,2
2026-09-06,07:20:00,80,96,0
2026-09-06,07:25:00,101,90,2
2026-09-06,07:30:00,123,94,5
2026-09-06,07:35:00,81,77,2
2026-09-06,07:40:00,100,89,6
2026-09-06,07:45:00,124,110,1
2026-09-06,07:50:00,100,90,3
2026-09-06,07:55:00,103,90,4
2026-09-06,08:00:00,108,70,1
2026-09-06,08:05:00,103,91,3
2026-09-06,08:10:00,106,74,4
2026-09-06,08:15:00,92,104,2
2026-09-06,08:20:00,87,86,2
2026-09-06,08:25:00,104,77,5
2026-09-06,08:30:00,94,88,2
2026-09-06,08:35:00,90,76,5
2026-09-06,08:40:00,97,84,0
2026-09-06,08:45:00,74,87,3
2026-09-06,08:50:00,90,83,3
2026-09-06,08:55:00,99,83,2
2026-09-06,09:00:00,81,92,1
2026-09-06,09:05:00,98,91,2
2026-09-06,09:10:00,87,120,1
2026-09-06,09:15:00,82,108,3
2026-09-06,09:20:00,91,105,2
2026-09-06,09:25:00,96,88,4
2026-09-06,09:30:00,111,86,5
2026-09-06,09:35:00,102,120,2
2026-09-06,09:40:00,88,95,5
2026-09-06,09:45:00,105,89,1
2026-09-06,09:50:00,96,78,1
2026-09-06,09:55:00,92,90,5
2026-09-06,10:00:00,92,80,1
2026-09-06,10:05:00,105,76,3
2026-09-06,10:10:00,102,103,4
2026-09-06,10:15:00,108,101,1
2026-09-06,10:20:00,110,85,2
2026-09-06,10:25:00,103,86,3
2026-09-06,10:30:00,96,81,5
2026-09-06,10:35:00,105,95,4
2026-09-06,10:40:00,107,93,1
2026-09-06,10:45:00,118,83,1
2026-09-06,10:50:00,117,92,4
2026-09-06,10:55:00,107,86,5
2026-09-06,11:00:00,84,89,0
2026-09-06,11:05:00,83,82,1
2026-09-06,11:10:00,87,103,4
2026-09-06,11:15:00,148,85,3
2026-09-06,11:20:00,103,83,1
2026-09-06,11:25:00,97,97,5
2026-09-06,11:30:00,95,69,1
2026-09-06,11:35:00,104,83,3
2026-09-06,11:40:00,88,91,1
2026-09-06,11:45:00,117,99,2
2026-09-06,11:50:00,92,80,0
2026-09-06,11:55:00,115,101,1
2026-09-06,12:00:00,110,89,2
2026-09-06,12:05:00,100,85,3
2026-09-06,12:10:00,102,64,1
2026-09-06,12:15:00,110,82,2
2026-09-06,12:20:00,112,94,2
2026-09-06,12:25:00,95,82,2
2026-09-06,12:30:00,102,103,3
2026-09-06,12:35:00,104,99,1
2026-09-06,12:40:00,105,105,1
2026-09-06,12:45:00,103,91,4
2026-09-06,12:50:00,110,78,3
2026-09-06,12:55:00,87,94,3
2026-09-06,13:00:00,111,81,1
2026-09-06,13:05:00,85,86,3
2026-09-06,13:10:00,116,79,3
2026-09-06,13:15:00,112,85,1
2026-09-06,13:20:00,105,93,3
2026-09-06,13:25:00,82,90,2
2026-09-06,13:30:00,108,97,3
2026-09-06,13:35:00,99,98,5
2026-09-06,13:40:00,95,88,1
2026-09-06,13:45:00,112,81,2
2026-09-06,13:50:00,102,69,2
2026-09-06,13:55:00,104,91,2
2026-09-06,14:00:00,96,90,1
2026-09-06,14:05:00,105,94,2
2026-09-06,14:10:00,116,90,3
2026-09-06,14:15:00,106,90,3
2026-09-06,14:20:00,95,86,3
2026-09-06,14:25:00,97,97,2
2026-09-06,14:30:00,103,94,1
2026-09-06,14:35:00,107,92,2
2026-09-06,14:40:00,109,89,4
2026-09-06,14:45:00,126,88,3
2026-09-06,14:50:00,87,82,1
2026-09-06,14:55:00,92,81,4
2026-09-06,15:00:00,78,83,1
2026-09-06,15:05:00,116,81,2
2026-09-06,15:10:00,100,105,2
2026-09-06,15:15:00,105,83,2
2026-09-06,15:20:00,111,96,3
2026-09-06,15:25:00,89,97,2
2026-09-06,15:30:00,105,97,2
2026-09-06,15:35:00,96,98,4
2026-09-06,15:40:00,100,97,6
2026-09-06,15:45:00,101,84,3
2026-09-06,15:50:00,108,89,1
2026-09-06,15:55:00,97,122,4
2026-09-06,16:00:00,88,102,2
2026-09-06,16:05:00,97,85,1
2026-09-06,16:10:00,91,127,5
2026-09-06,16:15:00,81,87,2
2026-09-06,16:20:00,110,99,1
2026-09-06,16:25:00,109,77,3
2026-09-06,16:30:00,108,90,3
2026-09-06,16:35:00,113,92,7
2026-09-06,16:40:00,105,87,3
2026-09-06,16:45:00,106,89,6
2026-09-06,16:50:00,102,87,1
2026-09-06,16:55:00,108,100,2
2026-09-06,17:00:00,106,92,4
2026-09-06,17:05:00,115,88,3
2026-09-06,17:10:00,110,91,1
2026-09-06,17:15:00,93,104,3
2026-09-06,17:20:00,102,111,3
2026-09-06,17:25:00,107,97,3
2026-09-06,17:30:00,106,81,3
2026-09-06,17:35:00,98,81,1
2026-09-06,17:40:00,103,74,1
2026-09-06,17:45:00,79,96,2
2026-09-06,17:50:00,108,91,4
2026-09-06,17:55:00,96,119,1
2026-09-06,18:00:00,117,101,3
2026-09-06,18:05:00,109,92,3
2026-09-06,18:10:00,90,106,2
2026-09-06,18:15:00,111,91,1
2026-09-06,18:20:00,85,78,2
2026-09-06,18:25:00,98,91,2
2026-09-06,18:30:00,78,91,2
2026-09-06,18:35:00,102,77,1
2026-09-06,18:40:00,118,96,2
2026-09-06,18:45:00,105,101,3
2026-09-06,18:50:00,108,97,5
2026-09-06,18:55:00,101,98,3
2026-09-06,19:00:00,94,101,3
2026-09-06,19:05:00,94,110,1
2026-09-06,19:10:00,96,95,1
2026-09-06,19:15:00,108,88,3
2026-09-06,19:20:00,86,73,5
2026-09-06,19:25:00,82,89,2
2026-09-06,19:30:00,110,79,1
2026-09-06,19:35:00,97,86,3
2026-09-06,19:40:00,92,100,1
2026-09-06,19:45:00,107,100,2
2026-09-06,19:50:00,108,89,3
2026-09-06,19:55:00,119,98,6
2026-09-06,20:00:00,121,113,2
2026-09-06,20:05:00,103,86,3
2026-09-06,20:10:00,96,98,4
2026-09-06,20:15:00,105,91,4
2026-09-06,20:20:00,106,95,2
2026-09-06,20:25:00,104,108,4
2026-09-06,20:30:00,113,84,1
2026-09-06,20:35:00,80,102,4
2026-09-06,20:40:00,94,86,4
2026-09-06,20:45:00,97,105,6
2026-09-06,20:50:00,107,93,2
2026-09-06,20:55:00,104,107,4
2026-09-06,21:00:00,104,71,2
2026-09-06,21:05:00,94,103,2
2026-09-06,21:10:00,101,111,5
2026-09-06,21:15:00,103,85,1
2026-09-06,21:20:00,107,111,2
2026-09-06,21:25:00,134,91,5
2026-09-06,21:30:00,94,89,1
2026-09-06,21:35:00,101,97,1
2026-09-06,21:40:00,123,91,3
2026-09-06,21:45:00,98,119,2
2026-09-06,21:50:00,101,89,1
2026-09-06,21:55:00,82,91,0
