Date,Time,D1_Counts,D2_Counts,Coincidences
2026-09-13,00:00:00,109,79,1
2026-09-13,00:05:00,112,91,2
2026-09-13,00:10:00,100,91,3
2026-09-13,00:15:00,112,101,1
2026-09-13,00:20:00,85,85,1
2026-09-13,00:25:00,84,57,2
2026-09-13,00:30:00,106,108,3
2026-09-13,00:35:00,91,83,3
2026-09-13,00:40:00,104,111,2
2026-09-13,00:45:00,119,104,4
2026-09-13,00:50:00,125,111,5
2026-09-13,00:55:00,99,105,4
2026-09-13,01:00:00,110,89,2
2026-09-13,01:05:00,112,85,1
2026-09-13,01:10:00,86,101,3
2026-09-13,01:15:00,95,110,4
2026-09-13,01:20:00,112,122,6
2026-09-13,01:25:00,91,99,0
2026-09-13,01:30:00,92,97,1
2026-09-13,01:35:00,93,100,2
2026-09-13,01:40:00,115,99,2
2026-09-13,01:45:00,113,89,2
2026-09-13,01:50:00,90,70,2
2026-09-13,01:55:00,99,95,2
2026-09-13,02:00:00,101,83,1
2026-09-13,02:05:00,96,100,1
2026-09-13,02:10:00,119,102,2
2026-09-13,02:15:00,83,100,2
2026-09-13,02:20:00,94,91,1
2026-09-13,02:25:00,125,121,3
2026-09-13,02:30:00,103,107,3
2026-09-13,02:35:00,104,100,5
2026-09-13,02:40:00,102,87,2
2026-09-13,02:45:00,108,97,1
2026-09-13,02:50:00,97,96,2
2026-09-13,02:55:00,111,92,1
2026-09-13,03:00:00,90,99,5
2026-09-13,03:05:00,90,78,2
2026-09-13,03:10:00,87,109,4
2026-09-13,03:15:00,92,93,2
2026-09-13,03:20:00,109,94,1
2026-09-13,03:25:00,92,82,1
2026-09-13,03:30:00,73,108,0
2026-09-13,03:35:00,126,80,2
2026-09-13,03:40:00,127,86,5
2026-09-13,03:45:00,101,74,2
2026-09-13,03:50:00,103,114,4
2026-09-13,03:55:00,95,101,4
2026-09-13,04:00:00,83,82,2
2026-09-13,04:05:00,97,92,0
2026-09-13,04:10:00,96,95,3
2026-09-13,04:15:00,101,92,2
2026-09-13,04:20:00,95,95,0
2026-09-13,04:25:00,107,88,3
2026-09-13,04:30:00,111,104,3
2026-09-13,04:35:00,117,89,1
2026-09-13,04:40:00,97,96,3
2026-09-13,04:45:00,111,108,6
2026-09-13,04:50:00,109,82,4
2026-09-13,04:55:00,83,96,3
2026-09-13,05:00:00,118,93,5
2026-09-13,05:05:00,122,86,3
2026-09-13,05:10:00,95,80,3
2026-09-13,05:15:00,111,83,3
2026-09-13,05:20:00,94,94,2
2026-09-13,05:25:00,113,104,6
2026-09-13,05:30:00,105,92,3
2026-09-13,05:35:00,102,89,3
2026-09-13,05:40:00,101,89,1
2026-09-13,05:45:00,101,105,3
2026-09-13,05:50:00,80,95,2
2026-09-13,05:55:00,108,90,2
2026-09-13,06:00:00,101,111,2
2026-09-13,06:05:00,78,114,6
2026-09-13,06:10:00,108,79,3
2026-09-13,06:15:00,103,74,1
2026-09-13,06:20:00,109,90,4
2026-09-13,06:25:00,90,99,3
2026-09-13,06:30:00,104,106,4
2026-09-13,06:35:00,114,114,1
2026-09-13,06:40:00,102,90,3
2026-09-13,06:45:00,115,98,2
2026-09-13,06:50:00,100,104,5
2026-09-13,06:55:00,106,99,2
2026-09-13,07:00:00,93,84,3
2026-09-13,07:05:00,93,101,3
2026-09-13,07:10:00,103,101,2
2026-09-13,07:15:00,106,87,2
2026-09-13,07:20:00,118,90,2
2026-09-13,07:25:00,101,85,0
2026-09-13,07:30:00,108,81,3
2026-09-13,07:35:00,114,114,8
2026-09-13,07:40:00,95,99,2
2026-09-13,07:45:00,98,97,6
2026-09-13,07:50:00,92,106,6
2026-09-13,07:55:00,108,79,3
2026-09-13,08:00:00,117,107,3
2026-09-13,08:05:00,116,97,0
2026-09-13,08:10:00,110,98,3
2026-09-13,08:15:00,106,105,1
2026-09-13,08:20:00,96,99,3
2026-09-13,08:25:00,88,103,3
2026-09-13,08:30:00,89,98,4
2026-09-13,08:35:00,90,71,2
2026-09-13,08:40:00,91,81,3
2026-09-13,08:45:00,120,95,2
2026-09-13,08:50:00,98,78,2
2026-09-13,08:55:00,116,104,3
2026-09-13,09:00:00,114,97,4
2026-09-13,09:05:00,112,85,4
2026-09-13,09:10:00,120,96,1
2026-09-13,09:15:00,96,91,1
2026-09-13,09:20:00,96,80,2
2026-09-13,09:25:00,100,88,1
2026-09-13,09:30:00,104,106,0
2026-09-13,09:35:00,100,80,2
2026-09-13,09:40:00,93,63,2
2026-09-13,09:45:00,118,105,5
2026-09-13,09:50:00,95,93,3
2026-09-13,09:55:00,101,77,4
2026-09-13,10:00:00,112,88,2
2026-09-13,10:05:00,107,107,5
2026-09-13,10:10:00,100,82,2
2026-09-13,10:15:00,90,101,5
2026-09-13,10:20:00,96,92,4
2026-09-13,10:25:00,114,81,2
2026-09-13,10:30:00,107,93,0
2026-09-13,10:35:00,122,99,4
2026-09-13,10:40:00,109,85,2
2026-09-13,10:45:00,107,83,4
2026-09-13,10:50:00,96,74,2
2026-09-13,10:55:00,112,95,2
2026-09-13,11:00:00,108,85,3
2026-09-13,11:05:00,83,100,1
2026-09-13,11:10:00,114,103,3
2026-09-13,11:15:00,99,102,2
2026-09-13,11:20:00,103,103,4
2026-09-13,11:25:00,112,100,0
2026-09-13,11:30:00,93,94,4
2026-09-13,11:35:00,97,97,2
2026-09-13,11:40:00,109,93,1
2026-09-13,11:45:00,98,95,3
2026-09-13,11:50:00,102,83,1
2026-09-13,11:55:00,110,99,1
2026-09-13,12:00:00,93,91,1
2026-09-13,12:05:00,96,90,4
2026-09-13,12:10:00,101,86,1
2026-09-13,12:15:00,92,82,4
2026-09-13,12:20:00,105,101,1
2026-09-13,12:25:00,95,83,0
2026-09-13,12:30:00,102,108,5
2026-09-13,12:35:00,92,90,3
2026-09-13,12:40:00,99,105,3
2026-09-13,12:45:00,107,91,4
2026-09-13,12:50:00,114,89,4
2026-09-13,12:55:00,120,92,0
2026-09-13,13:00:00,110,88,5
2026-09-13,13:05:00,102,106,4
2026-09-13,13:10:00,114,83,2
2026-09-13,13:15:00,112,90,2
2026-09-13,13:20:00,115,110,2
2026-09-13,13:25:00,92,91,1
2026-09-13,13:30:00,88,89,3
2026-09-13,13:35:00,102,98,1
2026-09-13,13:40:00,115,95,2
2026-09-13,13:45:00,118,111,4
2026-09-13,13:50:00,93,97,1
2026-09-13,13:55:00,87,100,4
2026-09-13,14:00:00,92,91,1
2026-09-13,14:05:00,113,107,3
2026-09-13,14:10:00,112,94,1
2026-09-13,14:15:00,96,89,2
2026-09-13,14:20:00,112,89,3
2026-09-13,14:25:00,108,82,5
2026-09-13,14:30:00,107,96,5
2026-09-13,14:35:00,117,110,5
2026-09-13,14:40:00,123,90,4
2026-09-13,14:45:00,101,102,1
2026-09-13,14:50:00,97,93,2
2026-09-13,14:55:00,113,99,4
2026-09-13,15:00:00,109,68,2
2026-09-13,15:05:00,104,87,4
2026-09-13,15:10:00,106,115,6
2026-09-13,15:15:00,108,95,3
2026-09-13,15:20:00,104,86,5
2026-09-13,15:25:00,89,77,1
2026-09-13,15:30:00,114,95,6
2026-09-13,15:35:00,96,80,2
2026-09-13,15:40:00,110,85,1
2026-09-13,15:45:00,95,89,2
2026-09-13,15:50:00,121,95,3
2026-09-13,15:55:00,88,89,2
2026-09-13,16:00:00,112,100,3
2026-09-13,16:05:00,106,88,3
2026-09-13,16:10:00,114,73,2
2026-09-13,16:15:00,115,83,4
2026-09-13,16:20:00,88,106,5
2026-09-13,16:25:00,84,83,1
2026-09-13,16:30:00,101,81,2
2026-09-13,16:35:00,103,98,4
2026-09-13,16:40:00,114,98,2
2026-09-13,16:45:00,101,107,0
2026-09-13,16:50:00,99,89,2
2026-09-13,16:55:00,103,83,2
2026-09-13,17:00:00,108,102,6
2026-09-13,17:05:00,111,92,3
2026-09-13,17:10:00,104,93,1
2026-09-13,17:15:00,117,96,2
2026-09-13,17:20:00,92,105,2
2026-09-13,17:25:00,107,85,4
2026-09-13,17:30:00,98,101,3
2026-09-13,17:35:00,92,80,5
2026-09-13,17:40:00,113,92,1
2026-09-13,17:45:00,108,116,2
2026-09-13,17:50:00,108,94,4
2026-09-13,17:55:00,114,95,6
2026-09-13,18:00:00,93,120,1
2026-09-13,18:05:00,89,99,2
2026-09-13,18:10:00,95,89,2
2026-09-13,18:15:00,120,109,3
2026-09-13,18:20:00,99,84,6
2026-09-13,18:25:00,100,101,0
2026-09-13,18:30:00,121,100,3
2026-09-13,18:35:00,103,80,3
2026-09-13,18:40:00,117,92,3
2026-09-13,18:45:00,82,111,2
2026-09-13,18:50:00,92,86,3
2026-09-13,18:55:00,126,84,5
2026-09-13,19:00:00,100,109,2
2026-09-13,19:05:00,93,99,4
2026-09-13,19:10:00,94,103,1
2026-09-13,19:15:00,91,105,2
2026-09-13,19:20:00,97,93,2
2026-09-13,19:25:00,108,95,3
2026-09-13,19:30:00,112,98,1
2026-09-13,19:35:00,101,99,1
2026-09-13,19:40:00,121,89,6
2026-09-13,19:45:00,102,96,2
2026-09-13,19:50:00,101,93,1
2026-09-13,19:55:00,93,82,3
2026-09-13,20:00:00,114,109,2
2026-09-13,20:05:00,108,88,3
2026-09-13,20:10:00,116,86,2
2026-09-13,20:15:00,97,84,3
2026-09-13,20:20:00,97,90,2
2026-09-13,20:25:00,97,95,4
2026-09-13,20:30:00,101,81,2
2026-09-13,20:45:00,84,69,2
2026-09-13,20:50:00,116,77,0
2026-09-13,20:55:00,95,84,3
2026-09-13,21:00:00,101,120,4
2026-09-13,21:05:00,92,75,1
2026-09-13,21:10:00,106,107,1
2026-09-13,21:20:00,98,104,3
2026-09-13,21:25:00,116,94,5
