Date,Time,D1_Counts,D2_Counts,Coincidences
2026-09-09,00:00:00,110,107,2
2026-09-09,00:05:00,108,105,2
2026-09-09,00:10:00,110,88,1
2026-09-09,00:15:00,115,106,3
2026-09-09,00:20:00,106,86,4
2026-09-09,00:25:00,106,83,0
2026-09-09,00:30:00,94,89,4
2026-09-09,00:35:00,105,93,4
2026-09-09,00:40:00,116,102,5
2026-09-09,00:45:00,116,95,2
2026-09-09,00:50:00,100,98,3
2026-09-09,00:55:00,103,89,2
2026-09-09,01:00:00,94,82,0
2026-09-09,01:05:00,99,101,3
2026-09-09,01:10:00,87,117,2
2026-09-09,01:15:00,111,96,3
2026-09-09,01:20:00,96,98,0
2026-09-09,01:25:00,110,92,0
2026-09-09,01:30:00,118,114,2
2026-09-09,01:35:00,106,97,1
2026-09-09,01:40:00,100,96,3
2026-09-09,01:45:00,93,94,3
2026-09-09,01:50:00,87,100,3
2026-09-09,01:55:00,110,98,0
2026-09-09,02:00:00,101,98,1
2026-09-09,02:05:00,107,120,2
2026-09-09,02:10:00,115,95,1
2026-09-09,02:15:00,112,100,4
2026-09-09,02:20:00,137,106,3
2026-09-09,02:25:00,97,66,1
2026-09-09,02:30:00,119,92,5
