Date,Time,D1_Counts,D2_Counts,Coincidences
2026-09-15,00:00:00,104,101,3
2026-09-15,00:05:00,125,102,4
2026-09-15,00:10:00,80,89,3
2026-09-15,00:15:00,95,79,2
2026-09-15,00:20:00,112,85,3
2026-09-15,00:25:00,126,82,1
2026-09-15,00:30:00,110,95,1
2026-09-15,00:35:00,111,109,3
2026-09-15,00:40:00,95,97,0
2026-09-15,00:45:00,114,113,4
2026-09-15,00:50:00,113,78,2
2026-09-15,00:55:00,101,93,5
2026-09-15,01:00:00,88,95,4
2026-09-15,01:05:00,95,102,1
2026-09-15,01:10:00,94,96,3
2026-09-15,01:15:00,104,90,2
2026-09-15,01:20:00,98,91,2
2026-09-15,01:25:00,117,109,3
2026-09-15,01:30:00,101,80,2
2026-09-15,01:35:00,90,65,3
2026-09-15,01:40:00,91,125,1
2026-09-15,01:45:00,104,90,1
2026-09-15,01:50:00,105,104,3
2026-09-15,01:55:00,82,78,0
2026-09-15,02:00:00,113,68,1
2026-09-15,02:05:00,107,101,0
2026-09-15,02:10:00,117,91,5
2026-09-15,02:15:00,109,104,1
2026-09-15,02:20:00,99,82,4
2026-09-15,02:25:00,117,97,3
2026-09-15,02:30:00,101,91,2
2026-09-15,02:35:00,113,129,3
2026-09-15,02:40:00,104,94,0
2026-09-15,02:45:00,94,98,0
2026-09-15,02:50:00,110,108,3
2026-09-15,02:55:00,80,89,1
2026-09-15,03:00:00,107,108,1
2026-09-15,03:05:00,100,103,1
2026-09-15,03:10:00,99,84,3
2026-09-15,03:15:00,115,101,2
2026-09-15,03:20:00,99,104,1
2026-09-15,03:25:00,122,114,2
2026-09-15,03:30:00,115,99,2
2026-09-15,03:35:00,108,106,4
2026-09-15,03:40:00,117,108,4
2026-09-15,03:45:00,126,113,3
2026-09-15,03:50:00,113,93,2
2026-09-15,03:55:00,112,94,2
2026-09-15,04:00:00,99,112,3
2026-09-15,04:05:00,120,76,2
2026-09-15,04:10:00,117,74,0
2026-09-15,04:15:00,90,77,3
2026-09-15,04:20:00,91,85,5
2026-09-15,04:25:00,84,105,4
2026-09-15,04:30:00,99,107,0
2026-09-15,04:35:00,94,90,1
2026-09-15,04:40:00,103,88,0
2026-09-15,04:45:00,98,112,1
2026-09-15,04:50:00,90,116,6
2026-09-15,04:55:00,124,106,0
2026-09-15,05:00:00,102,86,0
2026-09-15,05:05:00,102,102,2
2026-09-15,05:10:00,121,101,2
2026-09-15,05:15:00,114,97,2
2026-09-15,05:20:00,107,79,3
2026-09-15,05:25:00,94,95,1
2026-09-15,05:30:00,87,109,4
2026-09-15,05:35:00,110,103,2
2026-09-15,05:40:00,103,102,3
2026-09-15,05:45:00,129,73,0
2026-09-15,05:50:00,116,87,3
2026-09-15,05:55:00,85,95,1
2026-09-15,06:00:00,106,69,3
2026-09-15,06:05:00,88,81,0
2026-09-15,06:10:00,105,99,2
2026-09-15,06:15:00,104,118,4
2026-09-15,06:20:00,93,88,0
2026-09-15,06:25:00,113,107,1
2026-09-15,06:30:00,100,97,2
2026-09-15,06:35:00,92,107,2
2026-09-15,06:40:00,114,96,3
2026-09-15,06:45:00,99,87,1
2026-09-15,06:50:00,96,102,3
2026-09-15,06:55:00,111,93,2
2026-09-15,07:00:00,102,100,4
2026-09-15,07:05:00,124,98,5
2026-09-15,07:10:00,87,90,1
2026-09-15,07:15:00,99,82,2
2026-09-15,07:20:00,105,97,2
2026-09-15,07:25:00,87,105,4
2026-09-15,07:30:00,108,88,2
2026-09-15,07:35:00,119,76,3
2026-09-15,07:40:00,98,95,2
2026-09-15,07:45:00,87,84,1
2026-09-15,07:50:00,85,108,2
2026-09-15,07:55:00,116,101,4
2026-09-15,08:00:00,102,78,2
2026-09-15,08:05:00,104,107,0
2026-09-15,08:10:00,116,93,1
2026-09-15,08:15:00,98,96,1
2026-09-15,08:20:00,93,80,1
2026-09-15,08:25:00,99,98,2
2026-09-15,08:30:00,111,109,2
2026-09-15,08:35:00,105,99,5
2026-09-15,08:40:00,127,94,5
2026-09-15,08:45:00,98,93,2
2026-09-15,08:50:00,89,106,5
2026-09-15,08:55:00,128,90,3
2026-09-15,09:00:00,103,83,6
2026-09-15,09:05:00,85,73,4
2026-09-15,09:10:00,90,124,6
2026-09-15,09:15:00,103,79,0
2026-09-15,09:20:00,85,87,0
2026-09-15,09:25:00,73,99,2
2026-09-15,09:30:00,98,94,0
2026-09-15,09:35:00,93,100,3
2026-09-15,09:40:00,106,82,0
2026-09-15,09:45:00,119,82,4
2026-09-15,09:50:00,97,94,1
2026-09-15,09:55:00,98,94,4
2026-09-15,10:00:00,79,84,2
2026-09-15,10:05:00,115,79,2
2026-09-15,10:10:00,97,97,1
2026-09-15,10:15:00,92,105,1
2026-09-15,10:20:00,99,85,2
2026-09-15,10:25:00,95,83,1
2026-09-15,10:30:00,102,106,5
2026-09-15,10:35:00,107,92,5
2026-09-15,10:40:00,115,92,3
2026-09-15,10:45:00,98,89,0
2026-09-15,10:50:00,101,65,1
2026-09-15,10:55:00,94,100,4
2026-09-15,11:00:00,100,104,3
2026-09-15,11:05:00,111,90,3
2026-09-15,11:10:00,95,87,1
2026-09-15,11:15:00,107,85,2
2026-09-15,11:20:00,90,86,3
2026-09-15,11:25:00,97,84,0
2026-09-15,11:30:00,74,94,2
2026-09-15,11:35:00,97,78,3
2026-09-15,11:40:00,106,108,2
2026-09-15,11:45:00,90,95,4
2026-09-15,11:50:00,110,96,2
2026-09-15,11:55:00,100,86,4
2026-09-15,12:00:00,98,105,0
2026-09-15,12:05:00,102,94,5
2026-09-15,12:10:00,114,94,4
2026-09-15,12:15:00,106,85,2
2026-09-15,12:20:00,108,95,5
2026-09-15,12:25:00,88,94,1
2026-09-15,12:30:00,111,81,2
2026-09-15,12:35:00,101,85,6
2026-09-15,12:40:00,108,98,3
2026-09-15,12:45:00,98,109,1
2026-09-15,12:50:00,96,89,4
2026-09-15,12:55:00,103,88,0
2026-09-15,13:00:00,110,110,2
2026-09-15,13:05:00,89,107,2
2026-09-15,13:10:00,126,93,6
2026-09-15,13:15:00,95,100,5
2026-09-15,13:20:00,115,111,6
2026-09-15,13:25:00,91,125,2
2026-09-15,13:30:00,98,100,2
2026-09-15,13:35:00,97,118,5
2026-09-15,13:40:00,107,70,3
2026-09-15,13:45:00,111,116,3
2026-09-15,13:50:00,101,88,1
2026-09-15,13:55:00,100,92,5
2026-09-15,14:00:00,110,80,1
2026-09-15,14:05:00,98,88,0
2026-09-15,14:10:00,115,101,2
2026-09-15,14:15:00,86,97,3
2026-09-15,14:20:00,94,104,1
2026-09-15,14:25:00,109,99,4
2026-09-15,14:30:00,109,102,4
2026-09-15,14:35:00,92,81,2
2026-09-15,14:40:00,89,87,1
2026-09-15,14:45:00,119,107,2
2026-09-15,14:50:00,116,99,1
2026-09-15,14:55:00,117,64,2
2026-09-15,15:00:00,103,80,0
2026-09-15,15:05:00,114,99,3
2026-09-15,15:10:00,102,92,5
2026-09-15,15:15:00,113,102,3
2026-09-15,15:20:00,98,91,1
2026-09-15,15:25:00,109,90,3
2026-09-15,15:30:00,93,104,1
2026-09-15,15:35:00,107,95,0
2026-09-15,15:40:00,115,96,1
2026-09-15,15:45:00,108,88,1
2026-09-15,15:50:00,125,102,3
2026-09-15,15:55:00,102,137,7
2026-09-15,16:00:00,110,112,1
2026-09-15,16:05:00,93,100,2
2026-09-15,16:10:00,95,107,2
2026-09-15,16:15:00,105,77,4
2026-09-15,16:20:00,105,83,1
2026-09-15,16:25:00,129,97,4
2026-09-15,16:30:00,90,88,0
2026-09-15,16:35:00,111,98,3
2026-09-15,16:40:00,111,92,2
2026-09-15,16:45:00,131,111,5
2026-09-15,16:50:00,94,133,3
2026-09-15,16:55:00,92,98,1
2026-09-15,17:00:00,96,79,3
2026-09-15,17:05:00,95,82,1
2026-09-15,17:10:00,92,99,3
2026-09-15,17:15:00,101,86,1
2026-09-15,17:20:00,103,100,1
2026-09-15,17:25:00,101,95,2
2026-09-15,17:30:00,120,95,2
2026-09-15,17:35:00,93,90,5
2026-09-15,17:40:00,99,90,3
2026-09-15,17:45:00,117,113,5
2026-09-15,17:50:00,115,102,5
2026-09-15,17:55:00,107,98,4
2026-09-15,18:00:00,95,95,3
2026-09-15,18:05:00,106,106,4
2026-09-15,18:10:00,108,92,2
2026-09-15,18:15:00,92,107,1
2026-09-15,18:20:00,124,108,4
2026-09-15,18:25:00,94,110,3
2026-09-15,18:30:00,95,100,2
2026-09-15,18:35:00,131,98,2
2026-09-15,18:40:00,87,95,2
2026-09-15,18:45:00,97,79,0
2026-09-15,18:50:00,104,91,1
2026-09-15,18:55:00,104,85,1
2026-09-15,19:00:00,98,94,3
2026-09-15,19:05:00,95,95,6
2026-09-15,19:10:00,117,98,3
2026-09-15,19:15:00,93,92,2
2026-09-15,19:20:00,88,88,3
2026-09-15,19:25:00,95,86,1
2026-09-15,19:30:00,101,80,2
2026-09-15,19:35:00,119,105,4
2026-09-15,19:40:00,101,80,1
2026-09-15,19:45:00,88,97,4
2026-09-15,19:50:00,106,87,0
2026-09-15,19:55:00,97,114,3
2026-09-15,20:00:00,95,85,5
2026-09-15,20:05:00,84,102,3
2026-09-15,20:10:00,90,93,2
2026-09-15,20:15:00,102,112,2
2026-09-15,20:20:00,105,99,3
2026-09-15,20:25:00,123,107,6
2026-09-15,20:30:00,97,95,2
2026-09-15,20:35:00,100,92,3
2026-09-15,20:40:00,100,82,1
2026-09-15,20:45:00,87,87,0
2026-09-15,20:50:00,96,95,2
2026-09-15,20:55:00,107,89,2
2026-09-15,21:00:00,131,100,2
2026-09-15,21:05:00,95,77,0
2026-09-15,21:10:00,108,87,0
2026-09-15,21:15:00,120,112,5
2026-09-15,21:20:00,101,98,2
2026-09-15,21:25:00,99,94,2
2026-09-15,21:30:00,98,94,5
2026-09-15,21:35:00,120,73,3
2026-09-15,21:40:00,88,92,3
2026-09-15,21:45:00,106,91,2
2026-09-15,21:50:00,115,98,2
2026-09-15,21:55:00,96,96,3
2026-09-15,22:00:00,98,93,4
2026-09-15,22:05:00,95,97,1
2026-09-15,22:10:00,101,91,0
2026-09-15,22:15:00,109,98,3
2026-09-15,22:20:00,104,92,7
2026-09-15,22:25:00,103,96,1
