Date,Time,BMP390_Pressure(hPa),Online_Temp(C),Online_Pressure(hPa),Online_Humidity(%)
2026-09-09,00:00:00,994.14,18.24,1020.00,76.00
2026-09-09,00:05:00,994.17,18.24,1020.00,76.00
2026-09-09,00:10:00,994.19,19.32,1020.00,81.00
2026-09-09,00:15:00,994.22,19.32,1020.00,81.00
2026-09-09,00:20:00,994.24,19.32,1020.00,81.00
2026-09-09,00:25:00,994.30,19.24,1020.00,81.00
2026-09-09,00:30:00,994.34,19.24,1020.00,81.00
2026-09-09,00:35:00,994.40,19.24,1020.00,77.00
2026-09-09,00:40:00,994.46,19.24,1020.00,77.00
2026-09-09,00:45:00,994.51,19.24,1020.00,77.00
2026-09-09,00:50:00,994.55,19.24,1020.00,77.00
2026-09-09,00:55:00,994.57,19.24,1020.00,77.00
2026-09-09,01:00:00,994.57,19.24,1020.00,77.00
2026-09-09,01:05:00,994.52,19.24,1020.00,82.00
2026-09-09,01:10:00,994.44,19.24,1020.00,82.00
2026-09-09,01:15:00,994.35,19.24,1020.00,82.00
2026-09-09,01:20:00,994.27,19.24,1020.00,82.00
2026-09-09,01:25:00,994.22,19.24,1020.00,82.00
2026-09-09,01:30:00,994.16,19.24,1020.00,82.00
2026-09-09,01:35:00,994.11,19.24,1019.00,79.00
2026-09-09,01:40:00,994.06,19.24,1019.00,79.00
2026-09-09,01:45:00,993.99,19.24,1019.00,79.00
2026-09-09,01:50:00,993.93,19.24,1019.00,79.00
2026-09-09,01:55:00,993.87,19.24,1019.00,79.00
2026-09-09,02:00:00,993.81,19.24,1019.00,79.00
2026-09-09,02:05:00,993.72,19.24,1019.00,79.00
2026-09-09,02:10:00,993.64,19.24,1019.00,79.00
2026-09-09,02:15:00,993.54,19.41,1019.00,83.00
2026-09-09,02:20:00,993.44,19.41,1019.00,83.00
2026-09-09,02:25:00,993.38,19.41,1019.00,83.00
2026-09-09,02:30:00,993.31,18.24,1019.00,83.00
2026-09-09,02:35:00,993.25,18.24,1019.00,80.00
2026-09-09,02:40:00,993.17,18.24,1019.00,80.00
2026-09-09,02:45:00,993.09,18.24,1019.00,80.00
