Date,Time,BMP390_Pressure(hPa),Online_Temp(C),Online_Pressure(hPa),Online_Humidity(%)
2026-09-07,19:20:00,842.47,21.24,1021.00,63.00
2026-09-07,19:25:00,996.41,21.24,1021.00,63.00
2026-09-07,19:30:00,996.40,21.24,1021.00,63.00
2026-09-07,19:35:00,996.38,21.24,1022.00,68.00
2026-09-07,19:40:00,996.37,21.24,1022.00,69.00
2026-09-07,19:45:00,996.33,21.24,1022.00,69.00
2026-09-07,19:50:00,996.29,21.24,1022.00,69.00
2026-09-07,19:55:00,996.28,21.24,1022.00,70.00
2026-09-07,20:00:00,996.29,21.24,1022.00,70.00
2026-09-07,20:05:00,996.33,21.24,1022.00,70.00
2026-09-07,20:10:00,996.36,19.75,1022.00,72.00
2026-09-07,20:15:00,996.41,19.75,1022.00,72.00
