Date,Time,BMP390_Pressure(hPa),Online_Temp(C),Online_Pressure(hPa),Online_Humidity(%)
2026-08-22,08:40:00,842.47,18.24,1013.00,87.00
2026-08-22,08:45:00,987.79,18.24,1013.00,83.00
2026-08-22,08:50:00,987.80,18.24,1013.00,83.00
2026-08-22,08:55:00,987.83,18.24,1013.00,83.00
2026-08-22,09:00:00,987.86,18.24,1013.00,83.00
2026-08-22,09:05:00,987.88,18.24,1013.00,86.00
2026-08-22,09:10:00,987.87,19.27,1013.00,86.00
2026-08-22,09:15:00,987.87,19.27,1013.00,86.00
2026-08-22,09:20:00,987.84,19.27,1013.00,86.00
2026-08-22,09:25:00,987.81,19.24,1013.00,86.00
2026-08-22,09:30:00,987.73,19.24,1013.00,86.00
2026-08-22,09:35:00,987.64,19.24,1013.00,86.00
2026-08-22,09:40:00,987.58,19.24,1013.00,80.00
2026-08-22,09:45:00,987.55,19.24,1013.00,80.00
2026-08-22,09:50:00,987.51,19.24,1013.00,80.00
