Date,Time,BMP390_Pressure(hPa),Online_Temp(C),Online_Pressure(hPa),Online_Humidity(%)
2026-08-20,09:15:00,990.62,17.18,1016.00,79.00
2026-08-20,12:10:00,842.47,19.24,1017.00,63.00
2026-08-20,12:15:00,991.92,21.24,1017.00,63.00
2026-08-20,12:20:00,991.91,21.24,1017.00,63.00
2026-08-20,12:25:00,991.87,21.24,1018.00,60.00
2026-08-20,12:30:00,991.85,21.24,1017.00,53.00
2026-08-20,12:35:00,991.84,21.24,1017.00,53.00
2026-08-20,12:40:00,991.84,21.24,1017.00,53.00
2026-08-20,12:45:00,991.85,21.24,1017.00,52.00
2026-08-20,12:50:00,991.86,21.24,1017.00,52.00
2026-08-20,12:55:00,991.85,21.24,1017.00,52.00
2026-08-20,13:00:00,991.82,21.24,1017.00,51.00
2026-08-20,13:05:00,991.81,21.24,1017.00,51.00
2026-08-20,13:10:00,991.82,21.24,1017.00,51.00
2026-08-20,13:15:00,991.85,22.96,1017.00,56.00
2026-08-20,13:20:00,991.87,22.96,1017.00,56.00
2026-08-20,13:25:00,991.88,22.96,1017.00,56.00
2026-08-20,13:30:00,991.90,23.24,1017.00,48.00
2026-08-20,13:35:00,991.88,23.24,1017.00,48.00
2026-08-20,13:40:00,991.86,23.24,1017.00,48.00
2026-08-20,13:45:00,991.84,23.24,1017.00,48.00
2026-08-20,13:50:00,991.84,23.24,1017.00,48.00
2026-08-20,13:55:00,991.81,23.24,1017.00,48.00
2026-08-20,14:00:00,991.79,23.24,1017.00,47.00
2026-08-20,14:05:00,991.79,23.24,1017.00,52.00
2026-08-20,14:10:00,991.78,23.24,1017.00,52.00
2026-08-20,14:15:00,991.78,23.24,1017.00,52.00
2026-08-20,14:20:00,991.77,23.24,1017.00,52.00
2026-08-20,14:25:00,991.75,23.24,1017.00,52.00
2026-08-20,14:30:00,991.72,23.24,1017.00,52.00
2026-08-20,14:35:00,991.73,23.24,1017.00,52.00
2026-08-20,14:40:00,991.73,23.24,1017.00,52.00
2026-08-20,14:45:00,991.73,23.24,1017.00,45.00
2026-08-20,14:50:00,991.71,23.24,1017.00,45.00
2026-08-20,14:55:00,991.69,23.24,1017.00,45.00
2026-08-20,15:00:00,991.67,23.24,1017.00,44.00
2026-08-20,15:05:00,991.62,23.24,1017.00,44.00
2026-08-20,15:10:00,991.58,23.24,1017.00,44.00
2026-08-20,15:15:00,991.53,24.15,1017.00,51.00
2026-08-20,15:20:00,991.49,24.15,1017.00,51.00
2026-08-20,15:25:00,991.45,23.24,1017.00,49.00
2026-08-20,15:30:00,991.42,23.24,1017.00,44.00
2026-08-20,15:35:00,991.38,23.24,1017.00,44.00
2026-08-20,15:50:00,991.25,23.24,1017.00,44.00
2026-08-20,15:55:00,991.19,23.24,1017.00,44.00
2026-08-20,16:05:00,991.09,23.24,1017.00,44.00
2026-08-20,16:15:00,991.00,24.42,1017.00,49.00
2026-08-20,16:30:00,990.88,24.24,1017.00,49.00
2026-08-20,17:05:00,990.84,24.24,1016.00,42.00
2026-08-20,17:10:00,990.83,24.24,1016.00,42.00
2026-08-20,17:40:00,990.92,23.24,1017.00,47.00
2026-08-20,18:00:00,991.00,23.24,1017.00,43.00
2026-08-20,18:05:00,991.04,23.24,1017.00,43.00
2026-08-20,18:10:00,991.08,23.24,1017.00,43.00
2026-08-20,18:45:00,991.28,23.24,1017.00,49.00
2026-08-20,18:55:00,991.30,23.24,1017.00,49.00
2026-08-20,19:00:00,991.32,23.24,1017.00,50.00
2026-08-20,19:05:00,991.34,23.24,1017.00,53.00
2026-08-20,19:10:00,991.36,23.24,1017.00,53.00
2026-08-20,19:15:00,991.38,23.24,1017.00,53.00
