Date,Time,BMP390_Pressure(hPa),Online_Temp(C),Online_Pressure(hPa),Online_Humidity(%)
2026-08-21,10:30:00,842.47,20.24,1020.00,68.00
2026-08-21,10:35:00,994.30,20.24,1020.00,68.00
2026-08-21,10:40:00,994.29,20.24,1020.00,68.00
2026-08-21,10:45:00,994.29,20.24,1020.00,56.00
2026-08-21,10:50:00,994.29,20.24,1020.00,56.00
2026-08-21,10:55:00,994.30,20.24,1020.00,56.00
2026-08-21,11:00:00,994.30,20.24,1020.00,56.00
2026-08-21,11:05:00,994.29,20.24,1020.00,62.00
2026-08-21,11:10:00,994.27,20.24,1020.00,62.00
2026-08-21,11:15:00,994.24,20.24,1020.00,62.00
2026-08-21,11:20:00,994.22,22.24,1020.00,62.00
2026-08-21,11:25:00,994.19,22.24,1020.00,62.00
2026-08-21,11:30:00,994.17,22.24,1020.00,62.00
2026-08-21,11:35:00,994.14,22.24,1020.00,62.00
2026-08-21,11:40:00,994.13,22.24,1020.00,51.00
2026-08-21,11:45:00,994.09,22.24,1020.00,51.00
2026-08-21,11:50:00,994.07,22.24,1020.00,51.00
2026-08-21,11:55:00,994.03,22.24,1020.00,50.00
2026-08-21,12:00:00,993.99,22.24,1020.00,50.00
2026-08-21,12:05:00,993.96,22.24,1020.00,50.00
2026-08-21,12:10:00,993.91,24.20,1019.00,56.00
2026-08-21,12:15:00,993.88,24.20,1019.00,56.00
2026-08-21,12:20:00,993.86,24.20,1019.00,56.00
2026-08-21,12:25:00,993.82,24.24,1019.00,55.00
2026-08-21,12:30:00,993.77,24.24,1019.00,55.00
2026-08-21,12:35:00,993.72,24.24,1019.00,46.00
2026-08-21,12:40:00,993.67,24.24,1019.00,46.00
2026-08-21,12:45:00,993.64,24.24,1019.00,46.00
2026-08-21,12:50:00,993.59,24.24,1019.00,46.00
2026-08-21,12:55:00,993.54,24.24,1019.00,46.00
2026-08-21,13:00:00,993.51,24.24,1019.00,45.00
2026-08-21,13:05:00,993.48,24.24,1019.00,52.00
2026-08-21,13:10:00,993.41,24.24,1019.00,52.00
2026-08-21,13:15:00,993.36,25.05,1019.00,52.00
2026-08-21,13:20:00,993.32,25.05,1019.00,52.00
2026-08-21,13:25:00,993.31,23.24,1019.00,52.00
2026-08-21,13:30:00,993.28,23.24,1019.00,52.00
2026-08-21,13:35:00,993.25,23.24,1019.00,52.00
2026-08-21,13:40:00,993.20,23.24,1019.00,52.00
2026-08-21,13:50:00,993.13,23.24,1019.00,44.00
2026-08-21,13:55:00,993.12,23.24,1019.00,44.00
2026-08-21,14:00:00,993.10,23.24,1019.00,44.00
2026-08-21,14:05:00,993.09,23.24,1019.00,44.00
2026-08-21,14:10:00,993.10,23.24,1019.00,44.00
2026-08-21,14:50:00,992.96,25.24,1018.00,45.00
2026-08-21,14:55:00,992.93,25.24,1018.00,45.00
2026-08-21,15:10:00,992.81,25.24,1018.00,52.00
