Date,Time,BMP390_Pressure(hPa),Online_Temp(C),Online_Pressure(hPa),Online_Humidity(%)
2026-08-27,10:00:43,842.47,21.24,1012.00,82.00
2026-08-27,10:05:00,986.23,21.24,1012.00,82.00
2026-08-27,10:10:00,986.24,21.24,1012.00,82.00
2026-08-27,10:15:00,986.24,21.73,1011.00,85.00
2026-08-27,10:20:00,986.26,21.73,1011.00,85.00
2026-08-27,10:25:00,986.29,21.73,1011.00,85.00
2026-08-27,10:30:00,986.35,22.24,1012.00,73.00
2026-08-27,10:35:00,986.38,22.24,1012.00,83.00
2026-08-27,10:40:00,986.42,22.24,1012.00,83.00
2026-08-27,10:45:00,986.46,22.24,1012.00,73.00
2026-08-27,10:50:00,986.48,22.24,1012.00,73.00
2026-08-27,10:55:00,986.49,22.24,1012.00,73.00
2026-08-27,11:00:00,986.49,22.24,1012.00,72.00
2026-08-27,11:05:00,986.48,22.24,1012.00,72.00
2026-08-27,11:10:00,986.48,22.24,1012.00,72.00
2026-08-27,11:15:00,986.46,23.09,1012.00,79.00
2026-08-27,11:20:00,986.46,23.09,1012.00,79.00
2026-08-27,11:25:00,986.47,23.24,1012.00,77.00
2026-08-27,11:30:00,986.48,23.24,1012.00,77.00
2026-08-27,11:35:00,986.51,23.24,1012.00,66.00
2026-08-27,11:40:00,986.53,23.24,1012.00,66.00
2026-08-27,11:45:00,986.56,23.24,1012.00,66.00
2026-08-27,11:50:00,986.59,23.24,1012.00,66.00
