Date,Time,BMP390_Pressure(hPa),Online_Temp(C),Online_Pressure(hPa),Online_Humidity(%)
2026-09-02,16:10:00,842.47,27.24,1012.00,77.00
2026-09-02,16:15:00,986.09,29.24,1012.00,81.00
2026-09-02,16:20:00,986.04,29.24,1012.00,81.00
2026-09-02,16:25:00,986.01,29.24,1012.00,81.00
2026-09-02,16:30:00,985.98,29.24,1012.00,79.00
2026-09-02,16:35:00,985.96,29.24,1012.00,79.00
2026-09-02,16:40:00,985.89,29.24,1012.00,79.00
2026-09-02,16:45:00,985.80,29.24,1011.00,78.00
2026-09-02,16:50:00,985.78,29.24,1011.00,78.00
2026-09-02,16:55:00,985.70,29.24,1011.00,78.00
2026-09-02,17:00:00,985.57,29.24,1011.00,78.00
2026-09-02,17:05:00,985.51,29.24,1011.00,78.00
2026-09-02,17:10:00,985.48,29.24,1011.00,78.00
2026-09-02,17:15:00,985.38,28.50,1011.00,81.00
