Date,Time,BMP390_Pressure(hPa),Online_Temp(C),Online_Pressure(hPa),Online_Humidity(%)
2026-08-19,08:30:00,842.47,19.24,1012.00,90.00
2026-08-19,08:35:00,985.66,19.24,1012.00,90.00
2026-08-19,08:40:00,985.65,19.24,1012.00,90.00
2026-08-19,08:45:00,985.65,19.24,1012.00,90.00
2026-08-19,08:50:00,985.65,19.24,1012.00,90.00
2026-08-19,08:55:00,985.66,19.24,1012.00,93.00
2026-08-19,09:00:00,985.65,19.24,1012.00,93.00
2026-08-19,09:05:00,985.63,19.24,1012.00,93.00
2026-08-19,09:10:00,985.61,19.53,1011.00,89.00
2026-08-19,09:15:00,985.60,19.53,1011.00,89.00
2026-08-19,09:20:00,985.57,19.53,1011.00,89.00
2026-08-19,09:25:00,985.55,20.24,1011.00,88.00
2026-08-19,09:30:00,985.51,20.24,1011.00,88.00
2026-08-19,09:35:00,985.47,20.24,1011.00,88.00
2026-08-19,09:40:00,985.45,20.24,1011.00,87.00
2026-08-19,09:45:00,985.44,20.24,1011.00,87.00
2026-08-19,09:50:00,985.41,20.24,1011.00,87.00
2026-08-19,09:55:00,985.39,20.24,1011.00,87.00
2026-08-19,10:00:00,985.40,20.24,1011.00,87.00
2026-08-19,10:05:00,985.42,20.24,1011.00,87.00
2026-08-19,10:10:00,985.50,20.72,1011.00,84.00
2026-08-19,10:15:00,985.60,20.72,1011.00,84.00
2026-08-19,10:20:00,985.70,20.72,1011.00,84.00
2026-08-19,10:25:00,985.78,22.24,1011.00,82.00
2026-08-19,10:30:00,985.82,22.24,1011.00,82.00
2026-08-19,10:35:00,985.81,22.24,1011.00,82.00
2026-08-19,10:40:00,985.78,22.24,1011.00,76.00
